Stadtteil;Anzahl der Einwohner:innen;Anzahl der Kinder und Jugendlichen unter 18 Jahren;Anzahl älterer Einwohner:innen über 64 Jahren;Anzahl ausländischer Einwohner:innen;Anzahl der Einwohner:innen mit Migrations-hintergrund;Anzahl der Haushalte;Durchschnittliche Anzahl der Personen je Haushalt;Anzahl der Haushalte mit Kindern;Sozial-versicherungs-pflichtig Beschäftigte am Wohnort;Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort an den Erwerbsfähigen (15 bis unter 65-Jährige);Anzahl der Arbeitslosen;Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-Jährige);Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren;Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den älteren Erwerbsfähigen (55 bis unter 65-Jährige);Anzahl der Leistungs-empfänger:innen nach SGB II;Anteil der Leistungs-empfänger:innen nach SGB II an der Gesamt-bevölkerung;;
Lurup; 36 651    ; 7 494    ; 6 628    ; 8 286    ; 18 819    ; 17 707    ; 2,0    ; 4 217    ; 13 958    ; 58,8    ; 1 827    ; 7,7    ;  298    ; 6,0    ; 5 740    ; 15,7    ;;
Osdorf; 26 128    ; 5 315    ; 5 730    ; 4 793    ; 11 008    ; 13 184    ; 2,0    ; 3 056    ; 9 142    ; 57,1    ;  971    ; 6,1    ;  177    ; 5,2    ; 3 101    ; 11,9    ;;
Nienstedten; 7 081    ; 1 366    ; 1 838    ;  684    ; 1 426    ; 3 478    ; 2,1    ;  814    ; 1 989    ; 47,7    ;  62    ; 1,5    ;  25    ; 2,3    ;  52    ; 0,7    ;;
Blankenese; 13 656    ; 2 545    ; 3 725    ; 1 307    ; 2 753    ; 6 934    ; 2,0    ; 1 463    ; 3 918    ; 49,7    ;  167    ; 2,1    ;  61    ; 3,1    ;  256    ; 1,9    ;;
Iserbrook; 11 342    ; 2 095    ; 2 838    ; 1 128    ; 2 859    ; 5 656    ; 2,0    ; 1 254    ; 4 103    ; 60,6    ;  247    ; 3,6    ;  66    ; 3,9    ;  590    ; 5,2    ;;
Sülldorf; 9 399    ; 1 808    ; 1 968    ; 1 273    ; 2 424    ; 4 511    ; 2,0    ;  986    ; 3 333    ; 56,1    ;  279    ; 4,7    ;  61    ; 4,2    ;  699    ; 7,4    ;;
Rissen; 16 011    ; 3 037    ; 4 636    ; 1 761    ; 3 495    ; 7 963    ; 2,0    ; 1 688    ; 4 858    ; 54,8    ;  329    ; 3,7    ;  74    ; 3,4    ;  933    ; 5,8    ;;
Eimsbüttel; 57 183    ; 7 390    ; 7 388    ; 6 923    ; 14 084    ; 38 297    ; 1,5    ; 4 988    ; 28 603    ; 65,9    ; 1 756    ; 4,0    ;  350    ; 5,3    ; 2 373    ; 4,1    ;;
Rotherbaum; 17 103    ; 2 334    ; 2 735    ; 2 788    ; 5 199    ; 10 872    ; 1,6    ; 1 505    ; 6 886    ; 55,6    ;  397    ; 3,2    ;  102    ; 5,0    ;  380    ; 2,2    ;;
Harvestehude; 17 709    ; 2 681    ; 3 723    ; 2 386    ; 4 956    ; 10 635    ; 1,7    ; 1 651    ; 6 351    ; 54,2    ;  413    ; 3,5    ;  97    ; 3,9    ;  554    ; 3,1    ;;
