,stadtteil,green_area_total_ha,green_area_mean_ha,green_space_count,stadtteil_,inhabitants,z_area_per_inhbt,z_perc_green_area,z_area_per_inhbt_percentile,status
71,Ottensen,23.5399,0.713330303030303,16,Ottensen,34904.0,-0.020236239668044033,2.0668207196382617,3,high
72,Poppenbüttel,59.2599,1.1619588235294118,13,Poppenbüttel,24190.0,-0.45424277039637195,0.03236148223259183,1,low
73,Rahlstedt,69.4638,0.7311978947368422,35,Rahlstedt,92369.0,-0.08203842126032215,-0.2353360369440454,3,high
74,Reitbrook,2.0623,2.0623,1,Reitbrook,524.0,-0.5164894388870813,1.018272839223821,0,very low
75,Rissen,81.6515,1.63303,30,Rissen,16011.0,-0.5399135441672406,0.534837015924507,0,very low
76,Rothenburgsort,22.1405,0.6709242424242424,13,Rothenburgsort,8945.0,-0.4559355225325433,0.11889284080030608,1,low
77,Rotherbaum,18.0945,0.8616428571428572,12,Rotherbaum,17103.0,-0.23735102175547645,-1.1528233129242873,2,medium
78,Rönneburg,9.1306,0.6087066666666666,7,Rönneburg,3425.0,-0.4676074307023496,-1.544329294209702,1,low
79,Sasel,12.8478,0.5353249999999999,11,Sasel,24223.0,0.14238015208580573,0.2021587062099176,4,very high
80,Schnelsen,21.4104,0.6297176470588235,15,Schnelsen,30122.0,-0.050880714439571324,-0.017992617485728963,3,high
81,Sinstorf,8.1122,1.1588857142857143,2,Sinstorf,4261.0,-0.4069644606164811,-0.011275689062577093,1,low
84,Steilshoop,26.7457,1.069828,16,Steilshoop,19662.0,-0.32219210766954864,0.20854153552387233,2,medium
85,Stellingen,34.4891,0.7664244444444445,20,Stellingen,26955.0,-0.30344941100222095,0.09864861870246237,2,medium
86,Sternschanze,9.8538,0.8957999999999999,7,Sternschanze,7867.0,-0.2966555494758487,0.3395773545561501,2,medium
87,Sülldorf,75.33670000000001,8.370744444444446,5,Sülldorf,9399.0,-0.5687230827214464,0.1872172143485325,0,very low
88,Tatenberg,55.5347,5.048609090909091,10,Tatenberg,575.0,-0.6149309166177233,0.820778892276419,0,very low
89,Tonndorf,30.4495,1.1277592592592594,8,Tonndorf,15203.0,-0.41745460135797885,0.035325660970838973,1,low
90,Uhlenhorst,8.4867,0.4992176470588236,0,Uhlenhorst,18569.0,0.26461067333104815,1.2609144164785753,4,very high
91,Veddel,4.542,0.34938461538461535,2,Veddel,4263.0,-0.24002925001080408,0.13577231601108525,2,medium
92,Volksdorf,43.344,0.8498823529411765,21,Volksdorf,20723.0,-0.4260091892482471,1.1612329478792567,1,low
93,Wandsbek,31.8485,0.649969387755102,16,Wandsbek,37340.0,-0.14557782292264146,0.11962022485279937,3,high
94,Wandsbek,31.8485,0.649969387755102,16,Wandsbek,444037.0,5.01203459206416,0.11962022485279937,4,very high
95,Wellingsbüttel,36.6228,2.288925,2,Wellingsbüttel,11014.0,-0.49764524075554495,0.12173566090665164,0,very low
96,Wilhelmsburg,141.8108,0.8647,105,Wilhelmsburg,52683.0,-0.46906557880288435,0.14079220543787857,1,low
97,Wilstorf,55.954299999999996,1.9294586206896551,13,Wilstorf,17436.0,-0.4932549903656798,0.07730795542659318,0,very low
98,Winterhude,162.3162,1.575885436893204,52,Winterhude,56878.0,-0.4775825677388307,0.13954885731175315,1,low
99,Wohldorf-Ohlstedt,16.9613,0.8480650000000001,4,Wohldorf-Ohlstedt,4829.0,-0.504121535114842,1.668900315082639,0,very low
